employee_id,home_area,area_type,latitude,longitude,nearest_station,nearest_station_area,nearest_station_mode,nearest_station_lines,station_connectivity_score,home_to_work_km,home_to_station_m,station_access_category,destination_station_to_work_m,number_of_transfers,estimated_wait_time_min,origin_walk_time_min,transit_time_min,transfer_time_min,destination_walk_time_min,base_commute_time_min,delay_buffer_min,risk_adjusted_commute_time_min,base_commute_group,risk_adjusted_commute_group,delay_impact,crosses_45_min_after_delay,commute_time_score,station_access_score,transfer_score,reliability_score,adoption_score,adoption_potential
EMP0001,Quickborn,suburban,53.751563,9.917675,Quickborn,Quickborn,AKN,A1,0.7,7.08,2457.0,Poor,884.0,1,9.0,30.7,11.4,7,11.1,69.2,15,84.2,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0002,Hamburg-Wandsbek,urban,53.595413,10.104764,Wandsbek Markt,Hamburg-Wandsbek,U-Bahn / Bus,"U1, Bus",0.85,14.23,3604.0,Poor,884.0,0,6.0,45.1,35.1,0,11.1,97.2,15,112.2,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0003,Henstedt-Ulzburg,outer_suburban,53.771968,9.948691,Henstedt-Ulzburg,Henstedt-Ulzburg,AKN,"A1, A2",0.7,8.16,2968.0,Poor,884.0,1,9.0,37.1,16.3,7,11.1,80.5,15,95.5,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0004,Pinneberg,suburban,53.679197,9.780776,Pinneberg,Pinneberg,S-Bahn / Regional,"S3, RE",0.8,13.65,2999.0,Poor,884.0,1,7.0,37.5,19.4,7,11.1,81.9,15,96.9,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0005,Norderstedt,near_workplace,53.703351,9.954122,Norderstedt Mitte,Norderstedt,U-Bahn / AKN,"U1, A2",0.95,2.01,2598.0,Poor,884.0,0,4.0,32.5,0.0,0,11.1,47.5,15,62.5,46-60 min,60+ min,Minor impact,False,18,4,20,10,52,Medium
EMP0006,Bad Oldesloe,regional,53.79417,10.329115,Bad Oldesloe,Bad Oldesloe,Regional,RE,0.65,24.88,3491.0,Poor,884.0,2,10.0,43.6,37.6,14,11.1,116.3,15,131.3,60+ min,60+ min,No impact,False,8,4,8,20,40,Low
EMP0007,Quickborn,suburban,53.694388,9.912103,Quickborn,Quickborn,AKN,A1,0.7,4.84,4106.0,Poor,884.0,1,9.0,51.3,11.4,7,11.1,89.8,15,104.8,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0008,Ahrensburg,suburban,53.665611,10.26406,Ahrensburg,Ahrensburg,Regional,RE,0.75,18.84,1953.0,Poor,884.0,1,8.0,24.4,22.7,7,11.1,73.1,15,88.1,60+ min,60+ min,No impact,False,8,4,14,20,46,Medium
EMP0009,Norderstedt,near_workplace,53.692529,9.944622,Richtweg,Norderstedt,U-Bahn,U1,0.85,2.82,3328.0,Poor,884.0,0,6.0,41.6,3.2,0,11.1,61.9,15,76.9,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
EMP0010,Hamburg-Wandsbek,urban,53.612544,10.096032,Ohlsdorf,Hamburg-Ohlsdorf,U-Bahn / S-Bahn,"U1, S1",0.95,12.34,4391.0,Poor,884.0,0,4.0,54.9,19.7,0,11.1,89.7,15,104.7,60+ min,60+ min,No impact,False,8,4,20,20,52,Medium
