employee_id,home_area,area_type,latitude,longitude
EMP0001,Quickborn,suburban,53.751563,9.917675
EMP0002,Hamburg-Wandsbek,urban,53.595413,10.104764
EMP0003,Henstedt-Ulzburg,outer_suburban,53.771968,9.948691
EMP0004,Pinneberg,suburban,53.679197,9.780776
EMP0005,Norderstedt,near_workplace,53.703351,9.954122
EMP0006,Bad Oldesloe,regional,53.79417,10.329115
EMP0007,Quickborn,suburban,53.694388,9.912103
EMP0008,Ahrensburg,suburban,53.665611,10.26406
EMP0009,Norderstedt,near_workplace,53.692529,9.944622
EMP0010,Hamburg-Wandsbek,urban,53.612544,10.096032
EMP0011,Hamburg-Eimsbuettel,urban,53.595705,9.92775
EMP0012,Elmshorn,outer_suburban,53.786794,9.650143
EMP0013,Pinneberg,suburban,53.647052,9.767232
EMP0014,Ahrensburg,suburban,53.698216,10.226591
EMP0015,Hamburg-Wandsbek,urban,53.581237,10.035248
EMP0016,Hamburg-City,urban,53.522804,9.974211
EMP0017,Hamburg-Barmbek,urban,53.559016,10.041161
EMP0018,Norderstedt,near_workplace,53.681659,10.018781
EMP0019,Ahrensburg,suburban,53.660799,10.276565
EMP0020,Hamburg-Harburg,outer_urban,53.445143,9.992871
EMP0021,Quickborn,suburban,53.753686,9.929119
EMP0022,Hamburg-Eimsbuettel,urban,53.560039,9.920661
EMP0023,Bad Oldesloe,regional,53.833988,10.37886
EMP0024,Kaltenkirchen,outer_suburban,53.849798,10.025751
EMP0025,Quickborn,suburban,53.740463,9.878766
EMP0026,Hamburg-City,urban,53.544703,9.974726
EMP0027,Hamburg-Wandsbek,urban,53.58066,10.111202
EMP0028,Norderstedt,near_workplace,53.700812,10.043904
EMP0029,Norderstedt,near_workplace,53.72071,9.980367
EMP0030,Pinneberg,suburban,53.626227,9.784028
EMP0031,Quickborn,suburban,53.755924,9.888131
EMP0032,Bad Oldesloe,regional,53.809971,10.428274
EMP0033,Hamburg-Altona,urban,53.534741,9.989144
EMP0034,Hamburg-Eimsbuettel,urban,53.553312,9.982414
EMP0035,Hamburg-Wandsbek,urban,53.611488,10.090279
EMP0036,Hamburg-City,urban,53.571019,9.960218
EMP0037,Norderstedt,near_workplace,53.674278,10.015319
EMP0038,Hamburg-Wandsbek,urban,53.598842,10.049099
EMP0039,Hamburg-City,urban,53.526861,9.981972
EMP0040,Pinneberg,suburban,53.643197,9.769802
EMP0041,Hamburg-Wandsbek,urban,53.584867,10.155741
EMP0042,Henstedt-Ulzburg,outer_suburban,53.827724,9.951769
EMP0043,Pinneberg,suburban,53.693664,9.790939
EMP0044,Hamburg-Altona,urban,53.552896,9.882257
EMP0045,Henstedt-Ulzburg,outer_suburban,53.760793,9.990262
EMP0046,Ahrensburg,suburban,53.676998,10.294853
EMP0047,Hamburg-Eimsbuettel,urban,53.570485,9.982644
EMP0048,Hamburg-Altona,urban,53.530211,9.915029
EMP0049,Pinneberg,suburban,53.666121,9.859622
EMP0050,Norderstedt,near_workplace,53.716447,9.975847
EMP0051,Hamburg-City,urban,53.571969,9.995358
EMP0052,Norderstedt,near_workplace,53.716709,9.941696
EMP0053,Ahrensburg,suburban,53.698027,10.285997
EMP0054,Pinneberg,suburban,53.677918,9.827397
EMP0055,Pinneberg,suburban,53.676791,9.798738
EMP0056,Ahrensburg,suburban,53.689959,10.276642
EMP0057,Hamburg-Wandsbek,urban,53.551522,10.033242
EMP0058,Hamburg-Barmbek,urban,53.597261,10.042315
EMP0059,Norderstedt,near_workplace,53.727735,10.036276
EMP0060,Norderstedt,near_workplace,53.702618,10.051788
EMP0061,Pinneberg,suburban,53.651985,9.779421
EMP0062,Hamburg-Wandsbek,urban,53.592675,10.055624
EMP0063,Hamburg-Barmbek,urban,53.568224,10.062253
EMP0064,Quickborn,suburban,53.69915,9.901757
EMP0065,Hamburg-Harburg,outer_urban,53.434245,9.921297
EMP0066,Hamburg-Barmbek,urban,53.61166,10.043861
EMP0067,Hamburg-Barmbek,urban,53.61123,10.06952
EMP0068,Hamburg-Altona,urban,53.570114,9.93
EMP0069,Norderstedt,near_workplace,53.684208,10.004576
EMP0070,Hamburg-Wandsbek,urban,53.618322,10.103052
EMP0071,Hamburg-City,urban,53.531765,10.036573
EMP0072,Hamburg-Eimsbuettel,urban,53.588498,9.914642
EMP0073,Henstedt-Ulzburg,outer_suburban,53.768879,10.00562
EMP0074,Hamburg-City,urban,53.550861,9.939402
EMP0075,Norderstedt,near_workplace,53.672997,9.998159
EMP0076,Hamburg-Altona,urban,53.570891,9.979695
EMP0077,Hamburg-Altona,urban,53.561623,9.948493
EMP0078,Pinneberg,suburban,53.648703,9.795249
EMP0079,Hamburg-Barmbek,urban,53.589679,10.044394
EMP0080,Ahrensburg,suburban,53.642138,10.263464
EMP0081,Pinneberg,suburban,53.69096,9.810998
EMP0082,Hamburg-Eimsbuettel,urban,53.580132,9.936992
EMP0083,Ahrensburg,suburban,53.697704,10.290625
EMP0084,Hamburg-City,urban,53.562832,9.953789
EMP0085,Norderstedt,near_workplace,53.711623,9.978184
EMP0086,Norderstedt,near_workplace,53.682604,10.027185
EMP0087,Quickborn,suburban,53.727537,9.954776
EMP0088,Hamburg-Wandsbek,urban,53.544296,10.081575
EMP0089,Hamburg-City,urban,53.529778,10.001798
EMP0090,Hamburg-Wandsbek,urban,53.587256,10.11729
EMP0091,Norderstedt,near_workplace,53.707116,9.974007
EMP0092,Pinneberg,suburban,53.673598,9.813774
EMP0093,Hamburg-Wandsbek,urban,53.601774,10.144705
EMP0094,Hamburg-Eimsbuettel,urban,53.549188,9.987963
EMP0095,Hamburg-Altona,urban,53.56896,9.972228
